COD_UNB,SKU,DESCRICAO,LOTE,VALIDADE,QTD
UNB01,SKU001,Leite Integral 1L,LOT2026001,15/02/2026,150
UNB01,SKU001,Leite Integral 1L,LOT2026002,28/02/2026,200
UNB01,SKU001,Leite Integral 1L,LOT2026003,10/01/2026,50
UNB01,SKU002,Iogurte Natural 170g,LOT2026010,20/01/2026,80
UNB01,SKU002,Iogurte Natural 170g,LOT2026011,05/02/2026,120
UNB01,SKU003,Queijo Mussarela 500g,LOT2026020,30/03/2026,45
UNB01,SKU003,Queijo Mussarela 500g,LOT2026021,15/04/2026,60
UNB01,SKU004,Manteiga 200g,LOT2026030,01/05/2026,90
UNB01,SKU005,Cream Cheese 150g,LOT2026040,25/01/2026,35
UNB01,SKU005,Cream Cheese 150g,LOT2026041,10/02/2026,40
UNB01,SKU006,Requeijao 250g,LOT2026050,18/06/2026,70
UNB01,SKU007,Leite Condensado 395g,LOT2026060,30/12/2026,200
UNB01,SKU008,Creme de Leite 200g,LOT2026070,15/08/2026,180
UNB01,SKU009,Achocolatado Po 400g,LOT2026080,20/09/2026,100
UNB01,SKU010,Biscoito Recheado 140g,LOT2026090,10/07/2026,250
UNB02,SKU001,Leite Integral 1L,LOT2026100,20/02/2026,100
UNB02,SKU001,Leite Integral 1L,LOT2026101,05/03/2026,150
UNB02,SKU002,Iogurte Natural 170g,LOT2026110,28/01/2026,60
UNB02,SKU003,Queijo Mussarela 500g,LOT2026120,22/02/2026,30
UNB02,SKU011,Presunto Fatiado 200g,LOT2026130,18/01/2026,25
UNB02,SKU011,Presunto Fatiado 200g,LOT2026131,01/02/2026,40
UNB02,SKU012,Mortadela 250g,LOT2026140,25/02/2026,55
UNB02,SKU013,Salsicha 500g,LOT2026150,15/03/2026,80
UNB02,SKU014,Bacon 250g,LOT2026160,10/04/2026,35
UNB02,SKU015,Linguica Calabresa 400g,LOT2026170,28/05/2026,45
UNB03,SKU020,Arroz Branco 5kg,LOT2026200,30/06/2027,300
UNB03,SKU021,Feijao Carioca 1kg,LOT2026210,15/04/2027,250
UNB03,SKU022,Macarrao Espaguete 500g,LOT2026220,20/08/2027,400
UNB03,SKU023,Oleo de Soja 900ml,LOT2026230,10/12/2026,180
UNB03,SKU024,Acucar Cristal 1kg,LOT2026240,25/09/2027,220
UNB03,SKU025,Sal Refinado 1kg,LOT2026250,30/12/2027,150
UNB03,SKU026,Farinha de Trigo 1kg,LOT2026260,15/05/2027,190
UNB03,SKU027,Cafe Torrado 500g,LOT2026270,20/03/2026,85
UNB03,SKU027,Cafe Torrado 500g,LOT2026271,05/04/2026,100
UNB03,SKU028,Cha Mate 250g,LOT2026280,10/02/2026,50
